Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
24499,0.5,Ideal,H,SI1,62.1,58.0,5.04,5.07,3.14,1140
15257,0.7,Very Good,E,SI1,63.1,56.0,5.62,5.69,3.57,2421
8282,1.2,Premium,I,VS2,61.8,55.0,6.93,6.8,4.24,5699
16550,0.6,Ideal,D,VS1,61.9,54.9,5.4,5.43,3.35,2527
1731,0.33,Premium,G,VVS1,61.9,59.0,4.38,4.41,2.72,868
16277,0.9,Very Good,J,SI2,63.6,58.0,6.07,6.1,3.87,2860
3869,1.12,Premium,F,VVS2,62.4,59.0,6.66,6.58,4.13,10211
6479,0.4,Ideal,H,SI1,62.0,56.0,4.68,4.74,2.92,666
13357,0.5,Very Good,G,VS1,61.0,58.0,5.08,5.15,3.12,1694
14475,1.05,Ideal,D,SI2,61.9,56.0,6.53,6.5,4.03,5204
20077,0.9,Premium,I,SI2,60.6,60.0,6.28,6.23,3.79,2948
12695,1.1,Ideal,I,SI1,62.1,57.0,6.6,6.64,4.11,5037
2430,0.85,Very Good,D,SI1,60.3,57.0,6.09,6.22,3.71,3669
3830,1.01,Ideal,G,VS2,61.8,56.0,6.45,6.42,3.98,6108
19734,1.11,Ideal,J,VS1,61.3,55.0,6.65,6.75,4.11,5012
26806,0.31,Very Good,E,SI1,63.0,59.0,4.26,4.31,2.7,544
18687,0.55,Ideal,G,VVS2,62.0,56.0,5.26,5.28,3.27,1981
23100,1.34,Premium,D,SI2,60.3,59.0,7.16,7.11,4.3,5756
10997,1.52,Ideal,F,SI2,61.2,57.0,7.45,7.39,4.54,9057
14619,1.57,Premium,J,VS1,61.3,59.0,7.44,7.47,4.57,8595
21667,0.57,Very Good,G,SI1,60.4,58.0,5.37,5.42,3.26,1273
779,1.2,Ideal,G,VS1,62.6,54.3,6.76,6.8,4.25,8687
1668,0.78,Ideal,D,VS1,62.2,57.0,5.86,5.9,3.66,4350
26956,0.92,Good,E,SI1,63.3,57.0,6.17,6.22,3.92,3649
17345,0.31,Ideal,F,VS2,62.3,57.0,4.34,4.3,2.69,802
9658,0.73,Ideal,E,SI1,62.8,57.0,5.73,5.74,3.6,2728
11875,1.82,Fair,H,I1,67.3,58.0,7.5,7.47,5.04,5993
9100,0.71,Very Good,G,SI1,62.9,56.0,5.68,5.73,3.59,2184
10852,1.11,Ideal,E,VVS2,62.9,55.0,6.56,6.62,4.14,11074
21194,0.45,Premium,I,SI1,60.3,59.0,4.99,4.93,2.99,941
3369,1.0,Fair,F,SI2,65.7,61.0,6.13,6.11,4.02,3443
20555,2.0,Premium,G,SI2,61.4,59.0,8.14,8.06,4.97,11544
5856,0.3,Ideal,E,IF,62.0,54.0,4.31,4.34,2.68,943
26186,2.01,Premium,H,VS2,60.1,61.0,8.14,8.06,4.87,17068
20224,0.33,Ideal,E,VS2,61.9,54.0,4.47,4.42,2.75,928
7144,1.01,Good,G,SI1,62.2,65.0,6.34,6.3,3.93,3871
3900,1.01,Ideal,G,SI1,61.6,57.0,6.4,6.32,3.92,5273
25579,1.27,Ideal,G,VS2,61.9,57.0,6.9,6.93,4.28,9489
1867,1.07,Ideal,H,SI1,62.0,57.0,6.51,6.56,4.05,4830
22808,1.01,Very Good,D,SI2,63.1,54.0,6.39,6.35,4.02,5703
17639,1.64,Very Good,H,SI2,60.7,59.0,7.61,7.65,4.63,9632
24550,1.72,Premium,H,VS2,61.3,59.0,7.69,7.72,4.72,13486
18780,1.21,Premium,D,VS1,62.6,56.0,6.83,6.74,4.25,10706
17925,0.41,Very Good,F,VS2,62.8,58.0,4.69,4.73,2.96,863
12552,1.1,Very Good,H,VS2,61.3,58.0,6.63,6.74,4.1,5914
10357,0.58,Ideal,F,VS1,61.9,56.0,5.36,5.33,3.31,2227
21193,0.32,Ideal,E,VS1,61.9,56.0,4.41,4.38,2.72,972
10002,0.54,Ideal,I,VS1,61.9,54.0,5.24,5.29,3.26,1216
1792,1.7,Ideal,I,VS1,60.1,57.0,7.8,7.77,4.68,12099
16109,0.4,Ideal,F,VS2,62.3,54.0,4.74,4.77,2.96,767
17056,1.5,Premium,F,SI1,62.1,60.0,7.32,7.27,4.53,8770
12125,0.7,Very Good,I,VS1,62.4,58.0,5.62,5.67,3.52,1971
23466,1.57,Premium,H,VVS2,62.1,56.0,7.47,7.43,4.63,12098
25322,0.55,Ideal,G,VVS2,62.3,53.0,5.27,5.29,3.29,1799
11333,0.33,Good,E,SI1,63.8,55.0,4.36,4.38,2.79,579
17363,0.31,Very Good,G,VVS2,62.1,56.0,4.27,4.33,2.67,707
2221,1.75,Very Good,I,SI1,62.8,59.0,7.62,7.66,4.8,10635
8200,0.7,Premium,D,SI2,60.6,58.0,5.75,5.7,3.47,2596
10306,1.2,Very Good,I,SI1,62.6,57.0,6.74,6.77,4.23,5476
10918,0.72,Ideal,F,SI1,61.5,58.0,5.72,5.76,3.53,2642
6044,0.4,Very Good,I,SI1,63.2,54.0,4.69,4.67,2.96,765
4037,1.5,Good,F,VS2,63.6,59.0,7.13,7.22,4.56,10995
14618,1.15,Very Good,H,SI2,63.2,58.0,6.64,6.68,4.21,4767
10849,1.05,Premium,E,SI2,62.3,56.0,6.54,6.47,4.05,4939
17768,0.22,Premium,E,VS2,,58.0,3.93,3.89,2.41,404
21493,1.01,Very Good,F,SI1,63.1,59.0,6.3,6.37,4.0,5010
25407,1.06,Premium,G,VS1,62.2,55.0,6.58,6.51,4.07,6853
8971,0.71,Very Good,G,VS2,63.1,54.0,5.64,5.7,3.58,2574
8392,2.21,Premium,H,SI2,61.3,60.0,8.35,8.33,5.11,14032
2382,0.55,Good,I,VVS2,61.0,61.0,5.32,5.36,3.26,1384
18787,0.96,Premium,I,SI2,61.3,60.0,6.45,6.25,3.9,2669
7428,0.32,Ideal,D,SI2,61.7,55.0,4.4,4.38,2.71,612
19925,0.3,Very Good,G,VS1,62.1,60.0,4.24,4.3,2.65,605
15124,1.54,Ideal,G,VVS2,62.5,57.0,7.36,7.3,4.58,15197
9263,0.71,Very Good,J,VS1,62.4,58.0,5.67,5.7,3.55,2061
23009,0.91,Very Good,I,SI2,62.8,61.0,6.15,6.18,3.87,2832
16286,0.52,Ideal,D,SI2,61.7,55.0,5.17,5.2,3.2,1292
13536,0.8,Ideal,F,SI1,61.5,54.0,6.07,6.0,3.71,2890
20704,1.54,Ideal,F,VS2,61.9,57.0,7.42,7.35,4.57,12978
18206,1.2,Very Good,H,VS2,62.5,59.0,6.76,6.72,4.21,6870
11421,0.39,Premium,F,VVS1,59.7,58.0,4.75,4.73,2.83,1290
24046,1.04,Ideal,F,SI1,61.4,56.0,6.52,6.58,4.02,5663
23241,0.36,Ideal,H,VS2,62.0,55.0,4.58,4.63,2.86,599
8578,1.2,Very Good,E,VVS1,61.3,60.0,6.77,6.84,4.17,13015
3152,0.41,Ideal,D,VS1,61.2,57.0,4.77,4.81,2.93,1018
1528,0.44,Very Good,D,VS2,62.8,58.0,4.79,4.86,3.03,850
13543,1.32,Very Good,G,SI2,62.9,57.0,6.94,6.98,4.38,6294
14132,1.24,Very Good,F,VS1,59.0,60.0,7.0,7.07,4.15,9885
25674,0.26,Very Good,D,VS1,63.3,57.0,4.03,4.06,2.56,420
2596,0.96,Ideal,G,SI2,61.7,57.0,6.35,6.3,3.9,3858
10820,0.77,Very Good,F,VVS1,60.2,58.0,5.93,5.97,3.58,4399
18453,0.72,Ideal,E,VS2,60.8,56.0,5.78,5.82,3.53,3601
11060,1.69,Very Good,E,VS2,,58.0,7.52,7.6,4.74,17803
16501,0.55,Ideal,F,VS1,61.9,56.0,5.29,5.25,3.26,1980
1958,0.7,Very Good,E,SI2,59.8,58.0,5.74,5.76,3.44,2335
10561,0.31,Ideal,F,VVS1,62.4,54.0,4.33,4.35,2.71,840
3237,2.0,Ideal,I,VS1,62.3,56.0,8.08,8.03,5.02,12907
25865,0.7,Very Good,G,SI1,60.7,58.0,5.7,5.73,3.47,2074
2202,0.7,Very Good,F,SI1,61.6,55.0,5.66,5.7,3.5,2230
8610,1.11,Ideal,D,VS2,61.2,57.0,6.69,6.71,4.1,10443
15938,0.51,Premium,G,SI2,58.6,59.0,5.3,5.25,3.09,1026
9515,0.32,Premium,H,SI1,61.9,58.0,4.38,4.34,2.7,576
3638,1.02,Premium,D,SI2,59.3,60.0,6.56,6.52,3.88,4583
20610,0.31,Premium,F,VS2,60.7,61.0,4.4,4.36,2.66,749
3984,1.02,Good,D,SI2,57.7,64.0,6.7,6.62,3.84,4246
19684,1.56,Ideal,F,SI1,62.7,57.0,7.34,7.39,4.62,11943
8433,0.38,Ideal,I,VS1,62.0,54.0,4.67,4.72,2.91,700
14220,1.0,Very Good,G,VS2,63.4,57.0,6.31,6.27,3.99,5806
2574,0.43,Ideal,I,VS1,62.4,56.0,4.81,4.84,3.01,1218
1432,0.23,Very Good,D,VVS2,60.4,59.0,3.95,4.0,2.4,530
3527,0.3,Good,H,SI1,63.4,58.0,4.26,4.29,2.71,421
20339,0.31,Ideal,E,VVS2,59.9,62.0,4.4,4.41,2.64,755
18793,0.3,Ideal,G,VS1,62.6,57.0,4.29,4.27,2.68,776
4058,1.01,Very Good,F,SI2,60.0,55.0,6.56,6.53,3.93,4425
12755,1.5,Ideal,I,SI2,60.6,59.0,7.37,7.48,4.5,7253
26487,2.0,Premium,G,SI2,60.7,60.0,8.13,8.07,4.92,10833
17236,1.08,Ideal,G,VS2,61.3,56.0,6.62,6.59,4.05,6706
3851,1.5,Very Good,J,SI1,62.7,58.0,7.22,7.26,4.54,6987
25880,0.45,Very Good,G,VVS1,62.2,58.0,4.9,4.97,3.07,1327
10832,0.7,Ideal,E,SI1,62.7,57.0,5.64,5.66,3.54,2614
1701,0.91,Premium,F,SI1,62.6,56.0,6.18,6.13,3.85,3618
17055,0.41,Ideal,F,SI1,60.5,56.0,4.81,4.84,2.92,909
25700,0.39,Ideal,F,VVS1,61.8,55.0,4.69,4.73,2.91,1124
3651,1.0,Very Good,F,VS2,62.7,58.0,6.38,6.41,4.01,6319
20936,0.41,Ideal,G,IF,62.4,54.0,4.74,4.78,2.97,1367
17019,1.0,Ideal,G,VVS2,59.8,54.0,6.58,6.54,3.92,7885
12932,0.35,Premium,E,VVS2,60.2,58.0,4.66,4.61,2.79,1024
3340,0.5,Premium,E,VS2,62.6,58.0,5.07,5.12,3.19,1559
24184,1.13,Ideal,G,IF,61.7,57.0,6.65,6.7,4.12,10228
14707,0.32,Ideal,E,VVS1,,57.0,4.42,4.45,2.72,890
17926,0.38,Ideal,F,VS1,60.9,55.0,4.69,4.73,2.87,891
20234,1.53,Premium,F,VS2,58.5,60.0,7.62,7.56,4.44,14483
12439,0.35,Premium,H,VVS1,60.6,60.0,4.51,4.57,2.75,798
21251,0.23,Good,F,VS1,63.2,58.0,3.86,3.89,2.45,376
17993,2.02,Premium,G,SI2,61.0,58.0,8.15,8.22,4.99,15498
232,0.38,Ideal,F,VS2,62.2,54.0,4.64,4.66,2.89,870
857,2.04,Ideal,I,SI2,62.8,57.0,8.11,8.07,5.08,10282
2591,2.0,Very Good,G,SI1,63.5,56.0,7.9,7.97,5.04,18818
12963,1.01,Premium,F,SI2,62.7,56.0,6.4,6.35,4.0,4197
19412,0.28,Very Good,D,VS1,60.5,58.0,4.23,4.26,2.57,458
5519,1.13,Ideal,H,SI1,62.3,56.0,6.66,6.69,4.16,5384
4288,0.39,Ideal,G,VVS1,58.8,62.0,4.77,4.79,2.81,1004
19879,0.7,Good,E,SI2,56.9,63.0,5.78,5.71,3.27,1758
14820,0.31,Ideal,F,VVS2,61.2,56.0,4.37,4.39,2.68,761
25763,1.02,Very Good,H,SI1,61.9,61.0,6.34,6.42,3.95,4476
11335,0.71,Premium,F,SI2,62.6,59.0,5.64,5.6,3.52,2072
25153,0.24,Very Good,D,VS1,62.2,58.0,3.95,3.99,2.47,419
756,1.03,Premium,F,VS2,62.6,58.0,6.45,6.4,4.02,5774
22502,0.95,Very Good,E,SI1,62.8,59.0,6.21,6.25,3.91,4711
23528,0.54,Ideal,E,SI2,60.4,57.0,5.33,5.27,3.2,1340
10730,1.01,Ideal,H,SI1,62.4,53.0,6.47,6.42,4.02,4642
6538,0.37,Premium,D,SI1,62.3,56.0,4.64,4.61,2.88,874
8100,0.3,Premium,G,VVS2,62.7,56.0,4.31,4.24,2.68,878
6499,1.33,Ideal,I,SI1,61.6,57.0,7.06,7.1,4.36,7526
8842,0.73,Very Good,H,VS1,60.8,57.0,5.8,5.83,3.54,2916
8054,0.59,Ideal,F,VS1,61.1,56.0,5.43,5.47,3.33,2140
16809,0.71,Ideal,G,VVS1,62.6,56.0,5.65,5.69,3.55,3210
8125,0.48,Ideal,G,SI1,61.4,56.0,5.02,5.07,3.1,969
8213,1.03,Ideal,G,VVS2,61.2,57.0,6.48,6.52,3.98,8483
3907,0.29,Ideal,I,VS1,61.7,56.0,4.22,4.27,2.62,444
1931,1.06,Ideal,F,VVS2,61.1,57.0,6.62,6.57,4.03,8776
2066,0.24,Premium,E,VS2,62.6,58.0,4.03,3.99,2.51,536
21661,1.13,Ideal,I,VS2,62.3,56.0,6.73,6.63,4.16,5031
8975,0.23,Very Good,F,VVS2,61.5,58.0,3.9,3.94,2.41,530
401,0.38,Very Good,E,SI2,62.5,61.0,4.59,4.63,2.88,590
7762,0.54,Ideal,F,SI2,61.1,56.0,5.26,5.22,3.2,1240
8770,0.33,Very Good,I,VVS2,62.1,56.0,4.41,4.45,2.75,579
16766,0.74,Ideal,G,SI1,62.7,56.0,5.78,5.74,3.61,2309
18706,0.91,Very Good,H,VS2,63.1,56.0,6.2,6.13,3.89,3567
10172,1.1,Fair,E,SI1,65.5,57.0,6.45,6.37,4.2,3891
5396,0.57,Very Good,E,VS1,59.1,57.0,5.43,5.5,3.23,2008
23027,1.02,Very Good,H,SI2,63.5,60.0,6.33,6.24,3.99,3998
3837,1.2,Ideal,G,VVS2,62.2,55.0,6.77,6.81,4.23,9407
22311,1.69,Premium,I,VS2,62.4,58.0,7.66,7.53,4.74,10600
22165,0.5,Ideal,E,VS1,62.3,55.0,5.12,5.09,3.18,1724
25615,0.93,Ideal,I,SI1,62.0,57.0,6.22,6.26,3.87,2917
9205,0.7,Premium,G,VS2,61.8,60.0,5.67,5.63,3.49,2479
23334,1.51,Premium,J,VVS2,62.9,58.0,7.33,7.21,4.57,8930
10006,1.01,Premium,F,SI2,62.0,59.0,6.49,6.43,4.01,4072
10447,0.51,Ideal,G,VS1,61.7,55.0,5.17,5.14,3.18,1781
22511,0.3,Ideal,I,SI2,61.9,56.0,4.3,4.32,2.67,367
13233,0.73,Ideal,F,SI2,62.1,56.0,5.77,5.8,3.59,2276
18554,0.7,Very Good,F,SI1,61.4,59.0,5.67,5.7,3.49,2312
1065,1.01,Good,H,SI2,57.9,59.0,6.64,6.59,3.83,3903
12490,0.71,Very Good,J,SI2,60.7,61.0,5.75,5.81,3.51,1805
14192,1.53,Ideal,G,SI2,62.3,56.0,7.39,7.34,4.59,9468
15825,1.2,Very Good,H,VS1,60.2,57.0,6.88,6.95,4.16,8039
6035,2.02,Premium,H,VS2,62.7,53.0,8.02,7.95,0.0,18207
11958,0.3,Premium,E,IF,61.0,59.0,4.33,4.29,2.63,1097
25216,0.41,Premium,I,VVS1,59.8,61.0,4.84,4.79,2.88,1107
22319,0.23,Ideal,G,SI1,61.2,56.0,3.97,4.0,2.44,375
5329,1.02,Very Good,D,SI2,62.7,59.0,6.36,6.44,4.01,4712
21676,0.38,Ideal,E,VS1,61.6,56.0,4.66,4.62,2.86,1069
21457,1.0,Ideal,H,SI2,61.5,55.6,6.41,6.48,3.96,4459
13620,1.22,Ideal,F,SI2,61.7,54.9,6.84,6.9,4.24,6132
8356,1.01,Very Good,F,VS2,62.3,59.0,6.37,6.41,3.98,6770
8754,1.01,Very Good,F,SI2,63.2,59.0,6.38,6.35,4.02,4497
11548,0.5,Very Good,F,SI1,61.2,61.0,5.06,5.1,3.11,1250
3020,0.31,Good,E,VS1,59.0,63.0,4.44,4.47,2.63,600
10525,0.3,Very Good,G,VS2,63.5,55.0,4.25,4.22,2.69,675
17766,0.31,Premium,E,VS1,61.7,58.0,4.36,4.3,2.67,942
5165,0.91,Good,I,SI1,64.2,59.0,6.05,5.98,3.86,2700
19169,0.55,Ideal,F,SI1,61.7,56.4,5.26,5.3,3.25,1598
3005,0.38,Ideal,D,SI1,62.2,54.0,4.69,4.65,2.9,1066
23190,0.74,Premium,G,VS2,60.2,60.0,5.84,5.82,3.51,2621
24790,0.3,Ideal,F,VS2,60.4,56.0,4.37,4.34,2.63,776
13279,1.56,Ideal,F,VS2,62.0,55.0,7.41,7.45,4.61,17108
1746,0.9,Premium,G,SI1,60.6,60.0,6.22,6.15,3.75,3407
17871,0.31,Premium,F,IF,61.5,58.0,4.33,4.35,2.67,979
12894,1.01,Premium,D,SI1,62.7,58.0,6.38,6.34,3.99,4909
16520,0.38,Ideal,E,SI1,61.7,58.0,4.71,4.63,2.88,658
4989,0.7,Very Good,D,VS1,60.3,58.0,5.76,5.79,3.48,4095
24331,0.41,Ideal,E,SI2,61.2,56.0,4.81,4.84,2.95,760
6622,0.72,Ideal,F,SI2,61.2,54.0,5.81,5.86,3.57,2422
4065,1.21,Ideal,F,SI1,61.2,59.0,6.8,6.85,4.18,7349
22989,0.7,Very Good,D,SI2,63.7,58.0,5.56,5.62,3.56,2104
18721,1.7,Premium,E,SI1,60.1,58.0,7.78,7.74,4.66,15804
22405,2.11,Very Good,G,SI2,62.2,60.0,8.15,8.19,5.08,16188
14878,0.72,Premium,G,SI2,61.6,55.0,5.79,5.76,3.56,2364
18999,1.02,Fair,H,VS2,64.6,61.0,6.32,6.24,4.06,4462
18341,1.0,Very Good,F,SI1,63.2,54.0,6.3,6.23,3.96,4088
8257,0.51,Ideal,G,VVS2,62.9,57.0,5.12,5.09,3.21,1974
20460,0.8,Ideal,I,SI1,62.6,56.1,5.87,5.92,3.7,2677
2883,0.33,Very Good,D,VS1,63.2,56.0,4.45,4.44,2.81,1109
2208,0.9,Good,F,SI1,64.0,59.0,5.97,5.99,3.83,3696
23094,1.01,Premium,G,SI2,59.1,59.0,6.55,6.51,3.86,4242
9013,0.87,Premium,F,I1,59.1,58.0,6.25,6.21,3.68,2170
2534,0.34,Ideal,D,VVS1,62.4,55.0,4.49,4.45,2.79,1211
23758,1.74,Ideal,E,SI1,62.2,56.0,7.67,7.72,4.79,15847
10381,0.9,Good,F,VS2,63.6,59.0,6.11,6.06,3.87,4234
9992,0.4,Premium,D,VS1,62.5,60.0,4.66,4.72,2.93,1123
8780,0.27,Ideal,F,VS2,60.9,57.0,4.17,4.2,2.55,577
6276,0.32,Premium,H,SI1,62.3,60.0,4.36,4.4,2.73,461
6629,0.31,Premium,G,VS2,62.6,57.0,4.32,4.3,2.7,698
15819,0.38,Ideal,E,VVS2,61.6,55.0,4.72,4.67,2.89,1176
7242,0.43,Very Good,F,VS2,61.0,57.0,4.84,4.87,2.96,905
11058,0.5,Good,F,VS2,62.8,61.0,4.94,5.0,3.12,1447
23650,1.01,Good,E,VS2,62.6,58.0,6.33,6.36,3.97,6221
11989,0.7,Very Good,E,SI1,63.5,58.0,5.65,5.62,3.58,2592
24096,1.71,Very Good,G,VS2,62.5,58.0,7.56,7.66,4.76,15829
14447,0.7,Very Good,D,SI1,60.3,60.0,5.74,5.77,3.47,2656
16165,1.0,Very Good,D,SI1,59.2,62.0,6.49,6.54,3.86,5621
6991,1.01,Premium,H,VS2,62.9,60.0,6.33,6.22,3.95,4559
13048,0.34,Premium,I,SI1,62.7,58.0,4.43,4.4,2.77,574
16328,1.03,Very Good,E,VS2,61.3,61.0,6.46,6.53,3.98,5800
7962,0.26,Very Good,E,VVS1,61.8,59.0,4.11,4.14,2.55,539
26088,0.38,Ideal,D,VS1,62.0,55.0,4.64,4.68,2.89,1067
11892,1.71,Ideal,G,VS1,61.4,57.0,7.72,7.65,4.72,17204
8702,1.12,Very Good,G,VVS1,60.9,57.0,6.67,6.72,4.08,8408
17943,0.6,Premium,E,VS2,59.3,60.0,5.51,5.46,3.25,2124
7536,0.5,Ideal,E,SI1,62.3,56.0,5.06,5.12,3.17,1410
17044,0.41,Premium,H,VS1,58.2,59.0,4.92,4.88,2.85,990
20486,1.5,Good,F,I1,63.7,59.0,7.29,7.18,4.62,3864
12721,2.1,Premium,J,VS2,58.3,54.0,8.49,8.45,4.94,12401
11692,0.9,Good,G,VS2,63.6,59.0,6.04,6.1,3.86,4093
24200,1.15,Premium,G,VS1,63.0,60.0,6.68,6.6,4.18,7032
24050,0.36,Ideal,H,VS2,61.0,57.0,4.59,4.63,2.81,587
23308,0.76,Premium,E,SI1,58.3,62.0,6.12,5.95,3.52,2937
17846,2.17,Premium,J,SI2,62.3,60.0,8.33,8.2,5.15,13395
15587,0.55,Ideal,E,SI1,62.5,56.0,5.21,5.25,3.27,1609
25921,0.31,Ideal,D,SI1,62.0,56.0,4.35,4.39,2.71,533
24067,1.01,Fair,H,VVS2,65.0,55.0,6.31,6.27,4.09,4355
26836,1.24,Ideal,I,SI2,60.7,57.0,6.98,6.92,4.22,4812
22522,1.0,Good,E,VS2,62.4,58.0,6.33,6.4,3.97,6248
21820,0.41,Very Good,D,VS2,,54.0,4.77,4.82,2.96,939
18836,0.7,Premium,F,SI1,61.3,59.0,5.74,5.68,3.5,2423
1351,2.48,Fair,I,SI2,56.7,66.0,8.88,8.64,4.99,15030
13639,0.91,Good,G,SI1,63.5,61.0,6.05,6.1,3.86,3776
17010,1.0,Very Good,I,VS1,63.3,55.0,6.39,6.34,4.03,4641
1274,0.58,Ideal,F,SI1,62.3,54.0,5.36,5.39,3.35,1401
26961,1.1,Very Good,D,SI2,,63.0,6.76,6.69,3.94,4361
119,0.31,Ideal,G,VVS1,61.2,56.0,4.38,4.34,2.67,1046
20114,0.91,Very Good,I,VS2,61.0,57.0,6.2,6.26,3.8,3664
3364,1.03,Good,G,SI1,63.2,58.0,6.38,6.43,4.05,4679
17675,1.01,Premium,G,SI1,62.1,56.0,6.42,6.36,3.97,4805
5177,0.38,Premium,I,VS2,62.5,58.0,4.58,4.61,2.87,633
16237,1.01,Premium,I,SI1,61.8,59.0,6.44,6.37,3.96,4242
1684,1.08,Ideal,E,SI2,61.7,57.0,6.55,6.6,4.06,4989
20658,0.87,Ideal,H,SI1,62.5,57.0,6.13,6.06,3.81,2923
4909,0.32,Premium,H,VS1,61.7,58.0,4.41,4.37,2.71,720
15530,1.06,Ideal,F,IF,61.0,57.0,6.55,6.64,4.02,10995
15547,1.24,Premium,I,VS2,61.2,58.0,6.94,6.89,4.23,4858
7688,0.51,Ideal,F,VVS2,61.7,56.0,5.12,5.15,3.17,1998
25602,0.7,Premium,G,VS2,61.3,58.0,5.74,5.68,3.5,2596
23738,1.51,Fair,G,SI1,65.0,59.0,6.99,7.07,4.57,8681
19106,0.72,Very Good,I,SI2,63.2,62.0,5.71,5.67,3.59,1814
10692,0.4,Good,H,SI2,63.7,59.0,4.69,4.64,2.97,720
21628,1.24,Very Good,H,SI2,63.2,55.0,6.88,6.83,4.33,5486
9881,0.32,Ideal,G,IF,61.9,55.0,4.38,4.44,2.73,918
6999,0.3,Ideal,E,VVS2,61.6,57.0,4.32,4.29,2.65,1013
2026,0.36,Ideal,E,VS1,61.8,56.0,4.6,4.56,2.83,1094
12484,0.43,Good,D,SI1,63.4,55.0,4.78,4.84,3.05,774
1339,0.31,Ideal,J,SI2,,54.0,4.35,4.37,2.71,344
13705,0.31,Very Good,F,VS2,61.5,56.0,4.34,4.41,2.69,625
20186,0.31,Ideal,D,SI1,61.9,57.0,4.36,4.33,2.69,732
21158,0.31,Ideal,I,VS2,62.0,54.0,4.37,4.4,2.72,452
8641,1.0,Good,I,SI2,63.9,60.0,6.26,6.3,4.01,3465
1024,1.5,Very Good,H,VS1,63.3,59.0,7.15,7.1,4.51,9173
9641,0.31,Ideal,H,IF,62.1,54.0,4.37,4.33,2.7,1046
26428,1.0,Good,I,VS1,63.9,56.0,6.37,6.18,4.01,4581
18654,0.52,Ideal,E,VVS2,61.8,56.0,5.16,5.19,3.2,2301
4731,0.39,Good,F,VS1,62.8,61.0,4.63,4.67,2.92,847
25644,0.52,Ideal,G,VVS2,61.3,56.0,5.18,5.2,3.18,1897
13326,1.01,Premium,G,SI2,63.0,59.0,6.38,6.32,4.0,3923
